Query ID,Textbook Name,Query,query type,Ground Truth: [] means all pages in sequence,Cosine Output: set of top 3 pages,Dot output,Euclidean Output,Manhattan Output,Reason,Reason cosine output,,,,,,,,,,,,,,,,,,,
CP-11,Principles of Computer System Design: An Introduction,What are the fundamental abstractions in computer system design,conceptual,"(
[62, 64], 
[72, 75], 
[78, 81] 
)","t3 = ([62,62,63])","t3 = ([62,63],109)","[63,109,64]","[109, 74, 80","Introduction to fundamental abstractions: Memory, Interpreters, and Communication Links. 
Interpreter abstraction: How operations are processed, decoded, and executed. 
Communication links: Message passing, inter-process communication, and system coordination.",,,,,,,,,,,,,,,,,,,,
CP-12,Principles of Computer System Design: An Introduction,what role does indirect naming play in managing multiple contexts,conceptual,"( 
[92, 94], 
[138, 143], 
[154, 157] 
)","t3 = (89,89,92)","[138,135,136]","[509,138,135]","[135,92,509]","Explanation of naming contexts and their role in modularity
Handling naming conflicts and context switching
Indirect naming and its application in managing multiple contexts",,,,,,,,,,,,,,,,,,,,
CP-13,Principles of Computer System Design: An Introduction,how does eventual consistency differ from strong consistency in terms of system behavior and guarantees,conceptual,"(
  [531, 433],
  [499, 501],
  [295, 297]
)
","t3 = (500,531,523)",,,,,0,,,,,,,,,,,,,,,,,,,
MM-1,"Introduction to Automata Theory, Languages, and Computation", how do state transition graphs work,multi-modal,"(
  [59, 61],
  [62, 64],
  [121, 123]
)
","t3 = (142, aima-(160,80))",,,,,,,,,,,,,,,,,,,,,,,,
MM-2,Artificial Intelligence a Modern Approach,"How do Bayesian networks represent dependencies between discrete and continuous variables, and how is cost distribution affected by subsidies",multi-modal ,"(
[436, 437], 
[438, 440],
[466, 468]
)","t3 = (435,436,467)","[435,436,467]","[435,436,440]","[435,436,467]","Explanation of Bayesian networks with discrete and continuous variables, including an example of a cost-related model. 
Further discussion on Bayesian networks in decision-making scenarios, covering subsidy effects on cost distributions.",,,,,,,,,,,,,,,,,,,,
MM-3,Operating System Concepts,How does binary search on an index improve access time in sequential file systems using direct-access operations,multi-modal ,"(
  [670, 672],    
  [700, 702],   
  [708, 710]  
)
","t3 = ([671,670],702)",,,,,,,,,,,,,,,,,,,,,,,,
MM-4,Cooks Illustrated Annual 2019 recipes,What are the step-by-step procedures for preparing the perfect ravioli,multi-modal ,"(
  [36, 38]
)
","t3 = ([36,37], 2)",,,,"Discusses how steaming fish in soy-based liquids enhances flavor.
Explains how soy sauce, rice wine, and sesame oil contribute depth and aroma. 
Covers how soy-based steaming liquid infuses the dish with umami compared to plain water.",,,,,,,,,,,,,,,,,,,,
MM-5,"Introduction to Automata Theory, Languages, and Computation",How does a PDA use stack operations to recognize context-free languages,multi-modal ,"(
[256, 258], 
[270, 272], 
[313, 316] 
)","t3 = (270,273,432)","[270,273,432]","[270,273,432]","[270,312,312]","Definition and fundamental properties of Pushdown Automata (PDA) 
Role of the stack in recognizing context-free languages through push and pop operations 
Equivalence of PDA and context-free grammars (CFGs) in language recognition",,,,,,,,,,,,,,,,,,,,
MM-6,"Introduction to Automata Theory, Languages, and Computation",How does the reduction process construct a machine that distinguishes whether another machine accepts a given input,multi-modal ,"(
  [410, 412],
  [413, 416],
  [401, 403]
)","t3 = (412,414,406)",,,,,,,,,,,,,,,,,,,,,,,,
MM-7,Operating System Concepts,What components are involved when I use cloud services like virtual machines over the internet,multi-modal ,"(
  [73, 75],     
  [843, 845],   
  [1262, 1264]  
)
","t3 = (73,839,1262)","[73,73,1262]",,,,,,,,,,,,,,,,,,,,,,,
MM-8,Principles of Computer System Design: An Introduction,"How do magnetic disks work, and what factors influence their read/write performance

",multi-modal ,"([68, 70], 
[332, 335], 
[338, 340] 
)","t3 = ([340,339],68)","[340,339,68]","ai-[1159], pcd-[68,381]","[340,68,339]","Magnetic disk structure: Platters, tracks, sectors, and seek arm movement. 
Disk access & latency: Seek time, rotational delay, and data transfer rates. 
Performance optimization: Disk scheduling algorithms and file system design.",,,,,,,,,,,,,,,,,,,,
MM-9,Principles of Computer System Design: An Introduction,"How does a shared bus architecture manage communication between processors, memory, and peripheral devices",multi-modal ,"(
[226, 228], 
[100, 102], 
[210, 213] 
) 
","t3 = (100,100,os-43)","[100,43,43]","os-[35,36], pcd-[100]","os-[43,1259], pcd-[102]","Introduction to Bus-Based Communication
Bus Arbitration & Control Mechanisms
Performance Considerations & Optimization",,,,,,,,,,,,,,,,,,,,
MM-10,"Introduction to Automata Theory, Languages, and Computation",What is the DFA minimization algorithm,multi-modal ,"(
  [174, 176],
  [178, 180],
  [62, 64]
)
","t3 = (178,176,179)",,,,,,,,,,,,,,,,,,,,,,,,
MP-1,Artificial Intelligence a Modern Approach,What are the key challenges in reinforcement learning,multi-page,"(
[802, 805], 
[818, 820], 
[827, 829] 
)","t3 = (971,783,802)","[971,783,802]","[971,802,797]","[783,829,829]","Explanation of key challenges in reinforcement learning, including the exploration-exploitation trade-off 
Issues with sparse rewards and credit assignment problems in reinforcement learning 
Scalability challenges in reinforcement learning, especially in high-dimensional environments",,,,,,,,,,,,,,,,,,,,
MP-2,Artificial Intelligence a Modern Approach,what are multi-agent systems and how do they coordinate decision-making in competitive and cooperative environments,multi-page,"(
[611, 613], 
[614, 617], 
[57, 59] 
)","t3 = (663,659,612)","[663,659,612]","[663,612,613]","[612,613,23]","Definition of multi-agent systems and their role in decision-making 
Game theory models for cooperation and competition in multi-agent environments 
Mechanisms for coordination, including Nash equilibrium, incentive alignment, and joint planning",,,,,,,,,,,,,,,,,,,,
MP-3,Artificial Intelligence a Modern Approach,"How does the choice of k in k-nearest neighbors (k-NN) impact model performance, particularly in terms of overfitting and generalization",multi-page,"(
[686, 698], 
[700, 704],
[779,  751]
)","t3 = (700,[704,705])","[700,704,705]","[876,704,874]","[891,876,1085]","Explanation of nonparametric models, including k-NN.
Explanation of how higher values of 𝑘",,,,,,,,,,,,,,,,,,,,
MP-4,Cooks Illustrated Annual 2019 recipes,"How does the combination of yogurt, cream, and tomato create a balance of flavors and texture",multi-page,"( 
[28, 30], 
[31, 33], 
[37, 39] 
)","t3 = ([29,28],32)","[29,28,32]","[76,32,75]","[28,29,65]","Explains how cream stabilizes emulsions, creating a smooth texture. 
Covers how tomato paste adds acidity, balancing the richness of cream. 
Discusses how yogurt enhances tanginess, adds creaminess, and aids in browning meat.",,,,,,,,,,,,,,,,,,,,
MP-5,Cooks Illustrated Annual 2019 recipes,How does vinegar and sugar change the texture of cooked rice,multi-page,"(
[40, 42], 
[4, 6],
[68, 69]
)","t3 = (62,41,4)","[62,41,31]","[73,75,71]","[62,41,29]","Discusses how vinegar enhances the texture of rice and balances flavors. 
Explains how acidity (vinegar) and sugar interact in cooking and preservation.",,,,,,,,,,,,,,,,,,,,
MP-6,Cooks Illustrated Annual 2019 recipes,How is saffron used in Mediterranean dishes,multi-page,"( 
[12, 13], 
[67, 69]
)","t3 = ([68,67],38)","[13,12,114]","cooks illustrate-[80,74], ai modern approach-[800]","[114,67,85]","Discusses how saffron is used in Picada to enhance depth and color. 
Explains saffron's role in Mediterranean rice and stews. 
Covers saffron’s aromatic and earthy contributions in paella and other Spanish dishes.",,,,,,,,,,,,,,,,,,,,
MP-7,"Introduction to Automata Theory, Languages, and Computation",How does the Pumping Lemma help prove that a language is not regular,multi-page,"(
[143, 145], 
[146, 148], 
[210, 212]
)","t3 = (144,147,145)","[14,147,145]","[144,147,145]","[144,147,145]","Introduction to the Pumping Lemma and its significance
Formal statement and proof of the Pumping Lemma
Applications of the Pumping Lemma with examples",,,,,,,,,,,,,,,,,,,,
MP-8,"Introduction to Automata Theory, Languages, and Computation","How does the relationship between P and NP impact computational complexity theory
",multi-page,"(
[492, 495], 
[500, 504], 
aima-[1036,1038]
)","t3= (aima-(397,1037), 442)","[397,1037, 442]","[442,451,501]","aima-[397,397,1037]","Introduction to the P vs NP problem and its significance in computational complexity 
Definition of P, NP, and NP-completeness, along with polynomial-time reductions 
Implications of P ≠ NP and P = NP, including real-world consequences",,,,,,,,,,,,,,,,,,,,
MP-9,"Introduction to Automata Theory, Languages, and Computation",How does the reduction of Ld to Lu demonstrate that Lu is not recursive,multi-page,"(
[403, 406], 
[407, 409], 
[411, 415] 
)","t3 = (415,[405,406])","[415,405,406]","os-[831], ai-[320,320]","[405,433,405]","Explanation of the reduction from \(L_d\) to \(L_u\) and how it establishes the non-recursiveness of \(L_u\). 
Step-by-step proof using Turing machines and the halting problem to demonstrate the undecidability of \(L_u\). 
Theoretical implications of the reduction and its connection to recursive enumerable (RE) and non-recursive languages.",,,,,,,,,,,,,,,,,,,,
MP-10,Operating System Concepts,How is the operating system perceived differently by users compared to how it functions internally for the system,multi-page,"(
  [30, 32],  
  [76, 78],  
  [85, 87]   
)
","t3 = (105,85,32)",,,,,,,,,,,,,,,,,,,,,,,,
MP-11,Operating System Concepts,"What is the primary requirement for secondary storage in computer systems, and why is it needed",multi-page,"( 
[41, 43], 
[573, 575], 
[700, 702]
)","t3=(41,609,58)","[41,41,609]","[513,58,1000]","[41,609,58]","Discusses why secondary storage is necessary and its role in computer systems. 
Covers different types of secondary storage and their hierarchy",609 - How is secondary storage used and optimized 58 - Why is secondary storage needed,,,,,,,,,,,,,,,,,,,
MP-12,Principles of Computer System Design: An Introduction,What role do layers play in system architecture,multi-page,"(
[76, 79], 
[97, 99], 
[106, 109] 
)","t3 = (77,77,117)","[77,117,117]","os-[117,114,113]","[779,879,603]","Introduction to layering, hierarchy, and abstraction in system design 
Layers in computer systems: hardware, OS, and applications
Software layering with the file system as an example",,,,,,,,,,,,,,,,,,,,
MP-13,Operating System Concepts,What are the key design trade-offs in distributed systems,multi-page,"(
[891, 894], 
[905, 907], 
[85, 87] 
)","t3 = (871,27,891)","[871,27,27]","os-[836,911] pcd-[270]","[871,27,891]","Modularity and error propagation: How function calls impact distributed system reliability. 
Trade-offs in distributed systems: Consistency, availability, and performance balancing. 
Real-world case studies: Examples of distributed system failures and optimizations.",,,,,,,,,,,,,,,,,,,,
MP-14,Artificial Intelligence a Modern Approach,tell me about bellman-ford algorithm and give an example,multi-page,"(
  [581, 583],
  [587, 589],
  [609, 611]
)
","t3 = (78,120,581)",,,,,,,,,,,,,,,,,,,,,,,,
NU-1,Artificial Intelligence a Modern Approach,What is the formula for estimating the probability of a word using a Markov n-gram model,numerical,"(
  [838, 840],  
  [841, 843],
  [455, 457]
)","t3 = ([839,840],535)",,,,,,,,,,,,,,,,,,,,,,,,
NU-2,Artificial Intelligence a Modern Approach,What is the cost difference between the path found by the weighted A search and the path found by standard A in terms of percentage,numerical,"(
  [89, 91],
  [96, 98],
  [103, 106]
)
","t3 = (104,119,103)",,,,,,,,,,,,,,,,,,,,,,,,
NU-3,"Introduction to Automata Theory, Languages, and Computation",How many transition rules are required to simulate a given Turing machine using a Modified Post Correspondence Problem (MPCP) instance,numerical,"(
  [421, 423],
  [424, 427],
  [356, 358]
)
","t3 = (423,437,14)",,,,,,,,,,,,,,,,,,,,,,,,
NU-4,"Introduction to Automata Theory, Languages, and Computation",How many production rules are introduced when converting a group of m left-recursive rules into Greibach Normal Form (GNF) using the transformation described,numerical,"(
  [294, 296],
  [290, 293],
  [316, 318]
)
","t3 = ([293,294,295])",,,,,,,,,,,,,,,,,,,,,,,,
NU-5,Operating System Concepts,How is the predicted CPU burst time calculated after a series of actual bursts using exponential averaging,numerical,"(
  [275, 277], 
  [281, 283],  
  [266, 268]   
)
","t3 = (275,322,276)",,,,,,,,,,,,,,,,,,,,,,,,
NU-6,Operating System Concepts,How does the speedup vary with the number of processing cores for different values,numerical,"( 
[221, 223], 
[256, 258],
[397, 399]
)
","t3 = (221,161,256)","[221,221,161]","pcd-[325], os-[256,221]","[221,256,161]","Covers Amdahl’s Law and speedup limitations with multiple cores. 
Explains how speedup depends on parallelism and memory stalls.","161- Page briefly explains that computation speedup can be achieved by breaking tasks into parallel subtasks, which only improves performance when multiple processing cores are available. 
256- Page contains Exercise 4.14, which uses Amdahl’s Law to calculate speedup for various parallel portions and core counts, directly addressing how speedup varies with the number of processing cores.",,,,,,,,,,,,,,,,,,,
NU-7,Principles of Computer System Design: An Introduction,How many lock acquisitions and releases occur in each thread during one full execution of its loop,numerical,"(
  [299, 301]
  [239, 241],
  [243, 245]
)","t3 = (300,243,275)",,,,,,,,,,,,,,,,,,,,,,,,
NU-8,Principles of Computer System Design: An Introduction,How many threads are needed to fully utilize a processor given a specific instruction count and round-trip time,numerical,"[ 
[381, 383], 
[335, 337], 
[232, 234] 
]","t3 = (383,347,329)",,,,,,,,,,,,,,,,,,,,,,,,
TB-1,Artificial Intelligence a Modern Approach,"What are the performance measure, environment, actuators, and sensors of a medical diagnosis system agent type",tabular,"[
  [52, 54],
  [55, 57],
  [58, 60]
]
","t3 = ([57,56],60)",,,,,,,,,,,,,,,,,,,,,,,,
TB-2,Artificial Intelligence a Modern Approach,What are the key properties used to characterize different task environments for intelligent agents,tabular,"[
  [55, 47],
  [60, 62],
  [49, 51]
]
","t3 = (60,[56,55])",,,,,,,,,,,,,,,,,,,,,,,,
TB-3,"Introduction to Automata Theory, Languages, and Computation",What is the next state and head direction when the Turing machine is in state q1 and reads a 0,tabular,"[
  [346, 349],
  [356, 359],
  [403, 405] 
]
","t3 = (521,346,349)",,,,,,,,,,,,,,,,,,,,,,,,
TB-4,"Introduction to Automata Theory, Languages, and Computation",How do the transitions guide the machine to reach an accepting state on a given input,tabular,"[
  [159, 161],
  [403, 405],
  [170, 173]
]
","t3 = (63,275,160)",,,,,,,,,,,,,,,,,,,,,,,,
TB-5,Operating System Concepts,What are the I/O port address ranges assigned to different devices in a typical PC configuration,tabular,"[
  [618, 620],   
  [925, 927], 
  [1096, 1098]  
]
","t3 = (620,926,36)",,,,,,,,,,,,,,,,,,,,,,,,
TB-6,Principles of Computer System Design: An Introduction,What is the function of the resident bit (r) in multilevel memory management,tabular,"[ 
[342, 345], 
[346, 349], 
[361, 363] 
]","t3 = (344,346,361)","[344,346,361]","[344,346,442]","[346,344,361]","Introduction to multilevel memory management and the resident bit (r) concept
Detailed explanation of how the resident bit (r) helps distinguish between RAM and disk pages
Handling page faults when a page is not resident in RAM",,,,,,,,,,,,,,,,,,,,
TB-7,Principles of Computer System Design: An Introduction,What are the categories of abstractions and their corresponding procedures defined in the minimal operating system interface,tabular,"[
  [224, 226],
  [219, 221],
  [97, 99]
]
","t3 = (225,98,98)",,,,,,,,,,,,,,,,,,,,,,,,
TE-1,Artificial Intelligence a Modern Approach,How does a model-based reflex agent maintain and utilize an internal state to make decisions in a dynamic environment,textual,"[
[64, 66], 
[69, 71], 
[257, 260] 
]","t3 = (65,66,64)","[65,66,64]","[73,803,260]","[65,66,73]","Explanation of model-based reflex agents and their use of internal state 
How agents track world changes and update their knowledge using transition models 
Decision-making process using condition-action rules in dynamic environments",,,,,,,,,,,,,,,,,,,,
TE-2,Artificial Intelligence a Modern Approach,"How do standard logical equivalences simplify propositional theorem proving, and why are they essential in AI reasoning
",textual,"[
[235, 237], 
[238, 240], 
[242, 244] 
]","t3=(236,235,240)","[236,235,240]","[236,235], atl-[null]","[236,235,237]","Explanation of standard logical equivalences and their role in simplifying propositional logic 
How logical transformations aid in theorem proving and satisfiability checking 
Applications of logical equivalences in AI reasoning, SAT solving, and constraint satisfaction problems",,,,,,,,,,,,,,,,,,,,
TE-3,Artificial Intelligence a Modern Approach,How do the optimal policies and state utilities in passive reinforcement learning reflect the underlying transition dynamics and reward structure,textual,"[ 
[804, 808], 
[580, 582], 
[810, 812] 
]","t3 = (804,806,808)","[804,806,808]","[804,806,808]","aima-[161,164], pcd-[354]","Explanation of Passive Reinforcement Learning, including utility estimation and transition models 
Details on Optimal Policies and State Utilities in Markov Decision Processes (MDPs)",,,,,,,,,,,,,,,,,,,,
TE-4,Cooks Illustrated Annual 2019 recipes,"What is Picada, and how does it enhance the texture and flavor of dishes",textual,"[ [12, 13] ]","t3 = (13,12,109)","[13,12,109]","[13,80,74]","[12,11,109]","Introduces Picada as a Catalan blend of ground nuts, bread, garlic, and parsley. Explains how frying the nuts and bread in olive oil adds richness and nutty complexity to dishes.
Discusses how Picada thickens sauces by binding ingredients together, enhances umami through toasted nuts and garlic, and adds depth of flavor by absorbing the sauce’s spices and liquids.",,,,,,,,,,,,,,,,,,,,
TE-5,"Introduction to Automata Theory, Languages, and Computation",What is the significance of the Turing machine model in defining computability,textual,"[
[336, 339], 
[341, 345], 
[360, 362] 
]","t3 = (390,342,331)","[390,342,331]","[390,342,331]","[342,342,331]","Introduction to the Turing machine and its role in defining computability
Church-Turing thesis and its implications for computability theory
Applications of Turing machines in decision problems and complexity theory",,,,,,,,,,,,,,,,,,,,
TE-6,"Introduction to Automata Theory, Languages, and Computation",How does the product automaton help compute the intersection of two languages,textual,"[
[150, 153], 
[154, 158], 
[143, 145] 
]","t3 = (154,152,59)","[154,152,59]","[154,152,59]","[154,154,152]","Explanation of the product automaton and its role in computing language intersection 
Formal definition of how states are paired in the product construction 
Step-by-step transition rules and how accepting states are determined",,,,,,,,,,,,,,,,,,,,
TE-7,Operating System Concepts,What role does paging play in the operating system's memory management,textual,"[
[466, 468], 
[491, 495], 
[1130, 1132] 
]","t3 = (466,495,494)","[466,466,491]","[513,593,491]","[466,491,494]","Introduces paging as a memory-management strategy and explains its advantages. 
Covers paging mechanisms, including page tables and address translation. 
Discusses internal fragmentation, page sizes, and hardware support for paging.","491: describes core paging concepts like pages, frames, page tables, and TLBs used in memory management. 
494: It includes exercises (e.g., 9.14–9.16) that directly discuss paging, dynamic memory allocation, and protection mechanisms used by operating systems in paging-based memory management. 
494 - This exercise page supports understanding through questions, but isn't the best standalone explanation.",,,,,,,,,,,,,,,,,,,
TE-8,Operating System Concepts,what role does user authentication play in preventing unauthorized access,textual,"[
[781, 783], 
[784, 786],
[803, 805]
]","t3 = (61,783,956)","[61,61,956]","[758,753,755]","[956,799,758]","Discusses user authentication methods and password-based security. 
Covers access control mechanisms in Unix/Linux and how they enforce security.","799 - Page explains authentication methods and access controls used by the OS to prevent unauthorized access and enforce security. 
61 - Page explains how the OS uses access control, user IDs, and authentication to enforce security and prevent unauthorized access to system resources.",,,,,,,,,,,,,,,,,,,
TE-9,Principles of Computer System Design: An Introduction,what are the fundamental mechanisms used to build reliable systems from unreliable components,textual,"[
[427, 430], 
[431, 434], 
[191, 193] 
]","t3 = (385,18,18)","[385,18,392]","[385,18] ai-[34]","[385,103,59]","Fault tolerance techniques: Redundancy, error correction, and reliability strategies. 
Atomicity and recovery: Ensuring all-or-nothing execution for system reliability. 
Consistency and durable storage: Maintaining data integrity despite failures.",,,,,,,,,,,,,,,,,,,,
TE-10,Principles of Computer System Design: An Introduction,How do digital systems maintain reliability despite analog noise,textual,"[ 
[45, 47], 
[48, 50], 
[39, 40] 
]","t3 = (47,47,48)","[47,48,49]","[47,48], ai-[494]","[47,48,49]","Static Discipline & Robustness: Ensures noise tolerance by allowing variations in input while maintaining strict output constraints.
Level Restoration & Signal Regeneration: Prevents signal degradation by amplifying and correcting digital signals at each stage.
Scalability & Error Correction: Digital systems can grow in complexity without accumulating errors, unlike analog systems",,,,,,,,,,,,,,,,,,,,
TE-11,Operating System Concepts,What conditions lead to a deadlock,textual,"[
  [416, 419],
  [422, 424],
  pcd-[238, 240]
]
","t3 = (422,419,pcd-239)",,,,,,,,,,,,,,,,,,,,,,,,
TE-12,Operating System Concepts,Where does a C program store memory allocated at runtime,textual,"[
  [145, 148],
  [458, 460],
  [1035, 1037] 
]","t3 = (146,943,459)","[146,146,497]","os-[592, 20], pcd-[268]","[146,497,1241","Explains the memory layout of a C program, highlighting different memory sections. 
Discusses the heap and how dynamically allocated memory is managed.","497 - The page focuses on paging, virtual address breakdown, and contiguous memory allocation simulation, but does not mention the C program memory layout or dynamic allocation (i.e., the heap). 
1241- The page defines terms like ""buddy heap"" and ""memory allocation"", indirectly referencing how dynamic memory (like in C) is managed in the heap segment.",,,,,,,,,,,,,,,,,,,
TE-13,Operating System Concepts,Where are embedded computers commonly found in real-time embedded systems,textual,"[ 
[73, 75],
[294, 296],
[67, 69]
]","t3 = ([73,74],295)","[73,73,74]","[73,31,33]","[73,295,1247]","Discusses embedded computers in real-time embedded systems, including their applications in automobiles, home appliances, and industrial control.","295 - The page gives examples of real-time embedded systems like antilock brake systems and airline radar control, illustrating common use cases of embedded computers.",,,,,,,,,,,,,,,,,,,
TE-14,Operating System Concepts,What are the basic file operations that an operating system can perform,textual,"[
  [661, 663],
  [664, 666],
  [670, 672] 
]
","t3 = ([662,663],681)","[662,663,681]","[671,113,697]","[86,697,945]","Lists the seven basic file operations: create, open, read, write, reposition, delete, and truncate.",,,,,,,,,,,,,,,,,,,,
VS-1,Artificial Intelligence a Modern Approach,Which figure compares Decision Tree and Decision List learning curves based on training set size,visual,"[
  [687, 689],  
  [682, 684],   
  [740, 742]    
]
","t3 = (689,741,674)",,,,,,,,,,,,,,,,,,,,,,,,
VS-2,Artificial Intelligence a Modern Approach,What action sequence cleans both rooms in the two-cell vacuum world state-space graph,visual,"[
  [36, 37],   
  [43, 45],  
  [77, 80]    
]
","t3 = (80,377,135)",,,,,,,,,,,,,,,,,,,,,,,,
VS-3,Cooks Illustrated Annual 2019 recipes,When is thickness and smoothness of dough assessed,visual,"[
  [54, 56], 
  [196, 198], 
  [152, 154] 
]","t3 = (78,44,104)",,,,"Explains how trapped air in ravioli creates steam pockets that can cause bursting. 
Discusses proper sealing techniques to prevent ravioli from opening during boiling.
Covers the impact of air pockets on cooking time and texture.",,,,,,,,,,,,,,,,,,,,
VS-4,"Introduction to Automata Theory, Languages, and Computation",How do parallel transitions work in a product automaton when multiple inputs are received,visual,"[
[59, 62], 
[72, 76], 
[90, 93] 
]","t3 = ([59,60],308)","[59,60,308]","[59,60,308]","[59,60,308]","Explanation of product automata and parallel transitions 
Rules for state transitions when multiple inputs are received 
Handling cases where an automaton has no valid transition for an input",,,,,,,,,,,,,,,,,,,,
VS-5,"Introduction to Automata Theory, Languages, and Computation",How does the transition diagram of a Turing Machine help in recognizing strings of the form 0ⁿ1ⁿ,visual,"[
[346, 351], 
[354, 357], 
[344, 346] 
]","t3 = ([348,347],399)","[348,347,366]","ai-[318,318,455]","[347,347,399]","Introduction to the Turing machine model and its role in recognizing languages 
Detailed explanation of how a Turing machine processes strings of the form 0ⁿ1ⁿ 
Transition diagram analysis and step-by-step execution of input strings in a Turing machine",,,,,,,,,,,,,,,,,,,,
VS-6,Operating System Concepts,How does the system bring a new page into memory if the frame is already occupied,visual,"[
  [508, 510],    
  [546, 548],
  [551-553]
]","t3 = (552,1147,547)","[552,547,1147]","[519, 517, 520]","[552, 1147, 547]","Introduces demand paging and explains its working mechanism. 
Covers page faults, handling mechanisms, and their effect on performance.
Discusses page replacement, its necessity, and how it impacts system performance.","1147 - Page explains demand paging, page faults, and clock-based page replacement, showing their impact on performance and memory efficiency.",,,,,,,,,,,,,,,,,,,
VS-7,Principles of Computer System Design: An Introduction,"How does the memory hierarchy pyramid illustrate the trade-offs between speed, size, and cost in multilevel memory systems",visual,"[
  [317, 320],
  [338, 341],
  [347, 350]
]","t3 = (341,[348,349])",,,,,,,,,,,,,,,,,,,,,,,,
